id,title,author,authors,isbn13,isbn10,price,publisher,pubyear,subjects,lexile,pages,dimensions
7,Introduction to African Oral Literature and Performance,Bayo Ogunjimi,"Bayo Ogunjimi, Abdul Rasheed Na'allah",9781592211517,1592211518,$23.95,Africa World Press,2006,"Africa - Anthropology & Sociology, African Folklore & Mythology, Oral Tradition & Storytelling, General & Miscellaneous African Literature - Literary Criticism, African Literature Anthologies, Fables, Fairy Tales, & Folk Tales - Literary Criticism",,146.0,8.30 (w) x 5.30 (h) x 0.80 (d)
474,Out on the Porch: An Evocation in Words and Pictures,Reynolds Price,"Reynolds Price, Clifton Dowell, Reynolds Price",9780945575931,945575939,$1.99,Algonquin Books of Chapel Hill,1992,"Outdoor & Recreational Areas, American Literature Anthologies",,128.0,8.36 (w) x 8.28 (h) x 0.50 (d)
424,"Friction, Volume 7: Best Gay Erotic Fiction",Jesse Grant,Jesse Grant,9781555838270,1555838278,$1.99,Alyson Books,2004,"Fiction, American Literature Anthologies, Anthologies, Gay & Lesbian Studies, Fiction Subjects",,368.0,5.40 (w) x 8.50 (h) x 0.80 (d)
236,"Love, Castro Street: Reflections of San Francisco",Katherine V. Forrest,"Katherine V. Forrest, Jim Van Buskirk",9781555839970,1555839975,$1.99,Alyson Books,2007,"American Literature Anthologies, Anthologies, Gay & Lesbian Studies",,288.0,6.00 (w) x 9.00 (h) x 0.70 (d)
229,Up All Night: Adventures in Lesbian Sex,Stacy Bias,"Stacy Bias, Stacy M. Bias",9781555837471,1555837476,$1.99,Alyson Books,2004,"Short Story Anthologies, Peoples & Cultures - American Anthologies, Gay & Lesbian Literature Anthologies, Gay & Lesbian Fiction, Erotica",,264.0,5.40 (w) x 8.50 (h) x 0.60 (d)
460,The Best American Short Plays 2004-2005,Barbara Parisi,Barbara Parisi,9781557837127,1557837120,$15.83,Applause Theatre and Cinema Books,2008,"Drama Anthologies, American Drama, American Literature Anthologies",,332.0,5.50 (w) x 8.40 (h) x 0.70 (d)
59,The Best American Short Plays 2008-2009,Barbara Parisi,Barbara Parisi,9781557837608,1557837600,$14.85,Applause Theatre Book Publishers,2010,"Drama Anthologies, American Drama, American Literature Anthologies",,356.0,5.50 (w) x 8.40 (h) x 1.10 (d)
143,The Best American Short Plays 2007-2008,Barbara Parisi,Barbara Parisi,9781557837493,155783749X,$18.99,Applause Theatre Book Publishers,2009,"Performing Arts, Theater",,,
183,The Best American Short Plays 2006-2007,Barbara Parisi,Barbara Parisi,9781557837486,1557837481,$17.74,Applause Theatre Book Publishers,2010,"Drama Anthologies, American Drama, American Literature Anthologies",,380.0,5.50 (w) x 8.40 (h) x 1.10 (d)
363,The Best American Short Plays 2006-2007,Barbara Parisi,Barbara Parisi,9781557837479,1557837473,$34.99,Applause Theatre Book Publishers,2010,"Performing Arts, Reference",,,
227,The Best American Short Plays 2003-2004,Glenn Young,Glenn Young,9781557836960,1557836965,$13.25,Applause Theatre Book Publishers,2006,"Drama, General & Miscellaneous Drama, American Literature Anthologies, Anthologies",,312.0,5.50 (w) x 8.40 (h) x 0.70 (d)
398,Women Heroes: Six Short Plays from the Women's Project,Julia Miles,Julia Miles,9780936839226,936839228,$1.99,Applause Theatre Book Publishers,1987,"Drama, American Literature Anthologies, General & Miscellaneous Drama, Anthologies",,104.0,4.80 (w) x 6.80 (h) x 0.30 (d)
207,La Llorona on the Longfellow Bridge: Poetry Y Otras Movidas,Alicia Gaspar De Alba,Alicia Gaspar De Alba,9781558853997,1558853995,$7.54,Arte Publico Press,2003,Peoples & Cultures - American Anthologies,,128.0,5.50 (w) x 8.30 (h) x 0.40 (d)
301,Riding Low on Streets of Gold,Judith Ortiz Cofer,Judith Ortiz Cofer,9781558853805,1558853804,$13.90,Arte Publico Press,2003,"American Literature Anthologies, Teens - Poetry, Drama & Literary Criticism, Teen Fiction",,192.0,5.58 (w) x 8.48 (h) x 0.61 (d)
109,"Luis Valdez - Early Works: Actos, Bernabe and Pensamiento Serpentino",Luis Valdez,"Luis Valdez, Teatro Campesino",9781558850033,1558850031,$4.90,Arte Publico Press,1990,Peoples & Cultures - American Anthologies,,189.0,4.88 (w) x 8.66 (h) x 0.50 (d)
